image,gt_has_violation,pred_has_violation,gt_violations,pred_violations,decision_category
-4405-_png_jpg.rf.82b5c10b2acd1cfaa24259ada8e599fe.jpg,True,True,NO-Mask|NO-Safety Vest,NO-Safety Vest,True Positive (Correct Violation Flag)
000005_jpg.rf.96e9379ccae638140c4a90fc4b700a2b.jpg,True,True,NO-Mask|NO-Mask|NO-Safety Vest|NO-Safety Vest,NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
002551_jpg.rf.ce4b9f934161faa72c80dc6898d37b2d.jpg,True,True,NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Mask|NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
003357_jpg.rf.9867f91e88089bb68dc95947d5116d14.jpg,True,True,NO-Safety Vest|NO-Mask,NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,True,True,NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,True Positive (Correct Violation Flag)
004763_jpg.rf.46484e6ca73caeaa9de45822cf1085a9.jpg,True,True,NO-Mask|NO-Mask|NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,NO-Mask|NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,True Positive (Correct Violation Flag)
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,True,True,NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Mask|NO-Mask|NO-Safety Vest|NO-Mask|NO-Mask|NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,True,True,NO-Mask|NO-Mask|NO-Mask,NO-Mask|NO-Mask|NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
2008_008320_jpg.rf.bd34011d46f82f9410d95f00e560b8ea.jpg,True,True,NO-Hardhat|NO-Mask,NO-Hardhat|NO-Mask,True Positive (Correct Violation Flag)
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,True,True,NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Safety Vest,True Positive (Correct Violation Flag)
2009_000059_jpg.rf.50e8398a37eb33f33fd9f662feeea083.jpg,True,True,NO-Safety Vest|NO-Mask|NO-Hardhat,NO-Safety Vest|NO-Hardhat|NO-Mask,True Positive (Correct Violation Flag)
2009_000496_jpg.rf.9a2d210fe0f5ea4b572aeb07e41ecbae.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
3e7e40981ddd4cdb055c7ffe4c2af5d8_jpg.rf.bac50dc18195e9aeb6f3a21782a3efcb.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
777_jpg.rf.92dc6945342410ced7ac93f3dfbff0c5.jpg,True,True,NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Hardhat,NO-Hardhat,True Positive (Correct Violation Flag)
autox3_mp4-187_jpg.rf.8340e2bd65afade3fb0d3194eadc5796.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
autox3_mp4-277_jpg.rf.a5ed8fd043fe7e1d8682768880b6d4db.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
autox3_mp4-65_jpg.rf.d933ce48947fa9bdb55dc702a0879ac9.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
autox_mp4-44_jpg.rf.5048603ee6ccedf9ae6e3f787b7f82ff.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
bookstore_44_08_flickr_jpg.rf.244b6f308c529933af798c4063e58601.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
Bookstore_More_Merchandise_jpg.rf.7ab5add3e28ced74f9b316e794cc04d2.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
class1_150_jpg.rf.5995dce34d38deb9eb0b6e36cae78f17.jpg,True,True,NO-Mask|NO-Hardhat|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Mask,True Positive (Correct Violation Flag)
class2_131_jpg.rf.ad8314a9273471f1280ce8789ea75376.jpg,True,True,NO-Mask|NO-Hardhat|NO-Safety Vest,NO-Safety Vest|NO-Mask|NO-Hardhat,True Positive (Correct Violation Flag)
class2_145_jpg.rf.b8ed5a5357ee41f8fb1aa9b01a400d51.jpg,True,True,NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Hardhat|NO-Mask|NO-Mask,NO-Safety Vest|NO-Hardhat|NO-Safety Vest|NO-Hardhat|NO-Mask|NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
construction-1159-_jpg.rf.9f3172102a34edb157b556a73931c831.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-192-_jpg.rf.56dd5c4c1396c6ad01be4fbec3bca46f.jpg,False,True,Compliant,NO-Safety Vest,False Positive (False Alarm)
construction-2-_mp4-13_jpg.rf.cef0975976346515d438e0c2ce6c59db.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-2-_mp4-162_jpg.rf.efad5f15524c736fe03b9c9936adc481.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-2-_mp4-84_jpg.rf.e8d6bb0acc5c6e82c1a2d260ddf3135e.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-275-_jpg.rf.e1c57987f9dc262aad1d7c67b694fd87.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-597-_jpg.rf.e18e918aae0aeecfdf8348513636d344.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-639-_jpg.rf.7db2168ad99f643f7e3070733387e3bb.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
